Gene,Mean,SD,CV,Skewness,Kurtosis,Range
thrL,249.25795000000002,118.73542685203185,0.4763556261777481,1.4121641394694775,1.6413910984441191,478.852
thrA,113.66925,155.64624469065302,1.369290680554794,2.668844583119568,5.340844910133461,564.874
thrB,104.47290000000001,118.36259819229879,1.1329502501825714,2.5928011192731235,4.9372435409563575,419.445
thrC,119.76555,124.39812957321004,1.0386804016113986,2.5354351222273355,4.731321371588607,443.681
yaaX,24.401649999999997,8.256835224447938,0.338372004534445,0.8463689783385293,-0.4023194124567766,26.085
yaaA,59.58655,30.782649100247163,0.5166039836212561,2.043412876791876,3.388716659356893,123.025
yaaJ,9.8635,5.317373396904271,0.5390960000916785,1.1386292587831406,0.42535479321388436,19.256
talB,808.3171,168.17128699222425,0.20805113116155066,0.33273223042478106,-0.8560657149055855,589.796
mog,77.58644999999999,17.94397566249787,0.231277183870352,-0.3233283710779564,-0.4224958371385883,71.156
satP,42.1056,23.0617141130398,0.5477113284940672,0.7819889801108139,-0.1663438429723123,77.82300000000001
yaaW,2.10845,0.8595808938999835,0.4076837932604442,0.4422295093708426,-0.5468033637453846,3.191
mbiA,0.6113000000000001,0.34142689746970645,0.5585259242102183,0.22316724647253577,-1.0295564528325285,1.244
yaaI,0.8828999999999999,0.5204968173217828,0.5895308838167208,0.45221523328887386,-0.2829208680697155,1.885
dnaK,354.42705,177.4176523180543,0.500575936058081,1.181902493569698,0.3595102961831498,599.137
dnaJ,142.63025,58.307776656449704,0.40880371910201174,1.1971288173833616,0.4231816297860509,201.03200000000004
insL-1,48.77544999999999,18.91376782990857,0.38777228769613753,1.6409933807433221,1.433469366867075,67.35300000000001
mokC,11.352799999999998,3.9607729522086177,0.34888071244174285,0.5411795547715178,-0.4575517066838488,14.101999999999999
nhaA,83.4248,27.519771850339474,0.3298751911942189,0.3384710812020512,-0.8730603971992865,91.92699999999999
nhaR,45.623700000000014,15.011278220058411,0.32902369207360227,0.12983356483482902,-1.1069498838575373,47.288
insB-1,6.918750000000001,3.732748667995349,0.5395120026009538,1.5960608845457498,1.975743241098729,13.713000000000001
insA-1,22.0769,13.303214003825504,0.6025852363250956,1.7646799219728388,2.4526530730772897,52.448
rpsT,5075.344700000001,2260.1645467019503,0.4453223732177147,1.1568489145754914,1.525216207965732,9802.934000000001
yaaY,11.0788,4.084993365967685,0.3687216454821538,0.04177644481950507,-0.8854800312010416,14.767999999999999
ribF,164.78249999999997,21.939230995734796,0.13314053977658308,0.04403862677345994,-1.3852746638613618,68.149
ileS,253.8895,42.697779528732056,0.1681746568043659,-0.20884759175863016,-1.1838751710894473,136.75
lspA,220.3795,31.851544748955845,0.14453043386048087,-0.2877143453671116,-1.1303661350094492,99.963
fkpB,145.37114999999997,25.939767852459163,0.17843821041836133,0.321184382443033,-0.5863726080293472,95.13199999999999
ispH,119.68395000000001,19.711943548799358,0.1646999747986205,0.18570421909115978,-0.7760835568128135,70.941
rihC,29.10915,17.570264339966993,0.6035993610245229,1.5296787051063923,1.0389147487720436,62.636
dapB,92.04094999999998,26.549023438229966,0.28844795102864507,1.1216620199791965,0.5256181089662069,92.56899999999999
carA,914.1934000000001,650.9992428868909,0.7121023219888601,0.2034502167721398,-1.2037430297022071,1993.7839999999999
carB,699.5619499999999,510.2306573766392,0.7293573605263112,0.17471565696549515,-1.3784334949808796,1452.131
caiF,83.03325,63.089591193272206,0.7598111743581302,0.37038400914894637,-1.1051802599128686,185.945
caiE,3.00125,1.0563986924302873,0.3519862365448687,-0.2531199124631392,-0.11989007971882693,4.194999999999999
caiD,2.9250999999999996,1.2294061852866418,0.4202954378608054,0.24860466454298255,-0.838443301676155,4.332000000000001
caiC,8.686200000000001,3.8277011460089065,0.44066463424845226,-0.344483274918193,-1.2695081254223,11.872
caiB,7.4213499999999994,2.781690593014104,0.37482271999219874,-0.1061634925094418,-0.8299051482892863,9.802999999999999
caiA,10.6934,3.7207646554240204,0.3479496376666,-0.3646591336296655,-0.7643233918659034,12.213
caiT,0.598,0.20523542322749364,0.3432030488754074,0.5100867708440315,-0.3325832287145478,0.734
fixA,0.6644,0.2901668122776421,0.43673511781704116,0.11789892529070442,-0.8599184783614358,1.041
fixB,0.65645,0.22439356285916842,0.3418288717482953,0.2414084984875599,0.04732352823609398,0.9279999999999999
fixC,0.52635,0.18042647576754012,0.34278802273684833,-1.072606455424557,1.647054556432228,0.76
fixX,0.35300000000000004,0.3039953254488247,0.8611765593451123,0.391900954319052,-1.2090216183127234,0.91
yaaU,0.6998,0.32236096146041665,0.4606472727356626,0.505661529393546,-0.8070102711462632,1.091
kefF,10.621950000000002,3.453640420666743,0.3251418450159097,0.5886505119393145,0.3828597072815456,14.703
kefC,14.403900000000002,5.617548481040648,0.3900019078888806,0.9885608118098549,0.7704913839322485,20.963
folA,117.75964999999997,29.441444349715052,0.2500130082733352,-0.013605299916242205,-1.003241856881231,95.90199999999999
apaH,59.53294999999999,19.18419534950306,0.32224499792976935,-0.046985723829420296,-0.8181827647030566,62.239000000000004
apaG,189.99279999999996,41.637544964787935,0.21915327825469147,-0.23351142083244097,-0.5414081233270478,151.33200000000002
rsmA,197.27644999999998,33.77425777044903,0.1712026842050789,0.27961074552808274,-0.5584151660397225,128.42
pdxA,107.91135,20.21922521883566,0.18736884691773073,0.0451860372591663,-0.5010172334870746,78.318
surA,261.42334999999997,44.021085823518476,0.1683900302842821,-0.0034178400106747195,-0.7973280017535611,151.728
lptD,208.37255000000005,33.22843123381732,0.15946645195740664,0.13647677274227027,-0.9245682830617583,113.232
djlA,59.260250000000006,10.584785774005018,0.1786152737122273,-0.19878638174118846,-0.6988378433134601,37.17300000000001
yabP,37.133,12.247277179675061,0.32982191526876525,1.0895713203083552,-0.05597155535519338,41.38900000000001
yabQ,87.55340000000001,22.016298014258243,0.2514613711661482,0.7171060666532738,0.7529674124967918,96.287
rluA,68.64310000000002,22.420535955141425,0.32662475842643207,1.6647624864363553,1.3960284416524171,76.07900000000001
rapA,57.58895,17.477790211625127,0.30349207984561494,1.2116492824107838,0.47513362593999986,56.957
polB,14.090349999999997,4.435397380583189,0.3147826264488242,0.43728049038519856,-0.9524058792222458,14.308
araD,1.0420000000000003,0.8367096585026247,0.8029843171810216,1.7301220516617215,2.685961276315326,3.304
araA,2.0350999999999995,1.502744468245385,0.7384130844898951,2.1910974043074445,3.6729026679738093,5.598
araB,0.9849,0.8852180760158838,0.8987898020264836,2.5117230541867532,5.678571532106895,3.771
araC,19.381050000000002,13.889922808602911,0.7166754540441777,1.4738177918684405,1.637368048299571,51.844
yabI,33.93425,22.201120004642252,0.6542393011380022,1.5634672858266607,1.612928343676038,78.196
thiQ,27.7902,12.733113112544084,0.45818717074882814,0.02201943743050249,-0.48393669911443915,46.283
thiP,26.469649999999994,14.299173002494346,0.540210127542085,0.3538020299323279,-0.32697028848209353,51.765
thiB,69.13525,43.8876515924768,0.634808604763515,0.517912942159794,-0.3430191542500669,151.27100000000002
sgrR,11.0226,2.507411464564916,0.2274791305649226,1.5328001684938468,1.8204543597955682,9.652
setA,15.050900000000002,3.210489778998312,0.21330882399047973,1.6700081098701431,2.195478142926979,12.686
leuD,92.92534999999998,234.15134402825765,2.5197789841873903,2.6617836007757956,5.108921006207227,791.202
leuC,67.55175,169.8325556760556,2.514110377244936,2.6740822642482187,5.212885519948188,592.168
leuB,76.35185000000001,191.224385707988,2.504515420490636,2.6702493160295955,5.181160023205388,661.736
leuA,53.57280000000001,133.54292253669647,2.4927374066073913,2.6860343341598987,5.3122903163662,472.888
leuL,12.787850000000002,17.401692338375412,1.3607989097757174,2.118836016209179,3.3068304362236045,62.702
leuO,2.7548000000000004,1.5240750983016413,0.5532434653338323,1.0345287813750337,0.18352487558469566,5.493
ilvI,35.218599999999995,53.587476135459305,1.5215674710368758,2.509792261239045,4.633510145333938,188.965
ilvH,41.505200000000016,66.84590430204302,1.6105428790137861,2.5546325891083255,4.848337015756204,241.217
cra,108.16524999999999,20.895243041810158,0.19317889101915967,0.6433134572701957,-0.47000457642216675,71.961
mraZ,171.3517,39.76500436988336,0.23206658801682947,1.251908090446654,0.16448674946449815,126.422
rsmH,96.56234999999998,21.58595415706826,0.22354420907391198,0.8825767716001814,-0.33364288970184663,70.383
ftsL,118.89209999999999,28.4656990981667,0.23942464720672527,0.08082825240218874,-1.1226094239897326,86.89
ftsI,47.7516,9.657298414861385,0.20224031058354872,-0.02536223209719066,-1.092734675310358,29.75
murE,93.80994999999999,17.383635527566238,0.18530694801101846,-0.044352423322988735,-0.4391329479569621,67.191
murF,101.85294999999998,15.83636902653941,0.15548267405646488,0.042722806371653856,-0.1946588898693098,64.505
mraY,102.85619999999999,18.169095179510325,0.1766456001632408,0.43742554930977073,-0.4874094969210385,65.94
murD,106.29824999999998,19.628200571398605,0.18465215157727063,0.4548066021229297,-0.25121255487503413,73.31
ftsW,79.6978,20.73535019338003,0.2601746872985205,1.4164735021023125,1.5873423749815903,78.79899999999999
murG,92.30534999999999,22.115170023918925,0.23958708811481597,1.0564521209364506,0.9411873112127571,87.50800000000001
murC,110.89235000000001,20.207048143173367,0.18222220146992435,0.30640154045652257,-0.6383103425759296,70.34
ddlB,142.97010000000003,23.40407306184568,0.16369907457465355,0.42248853163587957,-1.1725877993092508,69.245
ftsQ,113.02674999999999,25.57345575905858,0.22626020618179837,0.6720992788395098,0.31705506372169445,95.67800000000001
ftsA,125.728,22.697622286787755,0.1805295740550057,0.05785849802649966,-1.131589112878988,77.032
ftsZ,374.8609,87.13827755741836,0.23245496544829924,0.19395114131141614,-0.7779877365838161,291.37199999999996
lpxC,1027.8439000000003,119.86442170126608,0.1166173401440297,0.023077673570652952,-0.7647887650391891,417.414
secM,154.29325000000003,27.381393468971435,0.1774633269373186,0.5260344247694941,0.4498839311958136,115.31899999999999
secA,187.24385,33.20039565280256,0.177311007292376,0.4319413234208423,-0.6680139557147693,120.55999999999997
mutT,35.2607,10.893900645484345,0.30895304533047685,0.9410410185319619,0.8811906189441516,43.962
yacG,140.6189,23.426525357066144,0.16659585131917648,0.3051113998945728,-1.0097660094556493,77.225
zapD,73.4727,11.985149741505769,0.16312385064800625,-0.018565162620480035,-0.5217518578543481,43.855
coaE,40.624399999999994,7.608046601772155,0.18727775922283543,0.8046822671045137,-0.4493120352791089,25.751999999999995
guaC,181.59744999999998,61.84472075965316,0.3405594118180248,-0.4215012444754515,-0.8183187924087165,206.06
hofC,3.4413000000000005,1.0892184112327616,0.3165136463640954,0.46334385057530125,-0.5963232789083395,3.6100000000000003
hofB,4.2570500000000004,1.6785677314149015,0.39430303412337214,0.7480784995455824,0.17074281534390234,6.232
ppdD,1.0918499999999998,1.0963693324595936,1.004139151403209,2.5086760445827436,5.204064371792171,4.532
nadC,57.826350000000005,10.570356789651253,0.1827948122205751,0.23240248514915982,-1.3123386765004519,30.608000000000004
ampD,25.062900000000003,7.427993218402369,0.29637405162221325,-0.3303963622273217,-1.1783968666149232,23.361999999999995
ampE,29.06105,9.257343636697016,0.3185481473207959,-0.003455068823927008,-1.2781842622394395,29.757999999999996
aroP,35.95465,56.64933842534216,1.5755775240571708,2.655431579984657,5.154859565288424,201.41
pdhR,421.33845,288.2932093372037,0.6842319027309368,1.043426851874686,-0.09654298425178931,920.2840000000001
aceE,1088.7932500000002,584.315919504696,0.5366637968270798,0.06015597167537022,-1.2715457402422006,1737.85
aceF,842.8916999999999,487.7423494899849,0.578653639002478,1.0551221873650105,0.290035233138048,1625.418
lpd,779.6326999999999,391.66150858121836,0.50236670239873,0.8071683254148516,-0.1715899578368787,1399.95
yacH,0.48,0.333251446082068,0.6942738460043084,0.8642886832530309,0.3455332279606096,1.271
acnB,373.2468,170.7455416733518,0.457460162212648,0.28070169764394287,-0.9607098652915407,566.9659999999999
yacL,61.81925,9.718865663045033,0.15721422797987736,0.5487803323139194,-0.6941029724829866,31.954
speD,257.41534999999993,47.47141610571123,0.18441563840583416,0.2633740998172007,-1.0684345388875396,167.856
speE,207.22349999999997,45.69441676075167,0.22050789008366173,0.40067555523350246,-0.9889656297708074,144.92199999999997
yacC,125.76325,58.064686126200755,0.46169835883058646,0.2995654861090626,-1.1316745663636425,193.313
cueO,22.076650000000008,13.901098556645762,0.6296742737981422,1.943963962369876,2.8267720096220375,49.56999999999999
gcd,77.05040000000001,60.90757280580746,0.7904900273821739,1.6249370915262478,2.9824803412602705,253.586
hpt,282.3505,67.05908614325446,0.2375029835019044,-0.1407322724744215,-0.22860949551833043,247.73900000000003
can,276.2632,148.8982645049615,0.538972488934326,1.3137505023878173,0.960214711261568,561.485
yadG,50.9462,7.087518967578815,0.13911771569967563,1.5942479814286503,3.0225277628964484,30.595
yadH,52.35940000000001,8.003047303831737,0.1528483386714083,0.5467858157437235,1.1463326914490386,36.50300000000001
yadI,31.9226,8.885402857318407,0.2783420791952538,0.149048857154218,-1.4433840027526987,25.62
yadE,14.127949999999998,3.6639815914700744,0.25934276320839716,1.313342571975681,1.4456880460184962,14.602
panD,421.30734999999993,140.31262754040387,0.3330410151648289,0.07022961706013309,-1.0485769146542583,456.12199999999996
rpnC,4.996850000000001,1.149080239743257,0.22996092333034945,0.25794691100681677,-0.9502495433987885,4.069
panC,212.19424999999995,66.41874728281482,0.3130091757095908,0.1916025768153471,-0.7352272902618409,223.995
panB,156.60695000000004,46.092920524426006,0.294322317907513,0.0466318963288258,-0.44872789500325316,167.853
yadC,1.1918,0.6061644383463859,0.5086125510541919,0.8057354781839218,0.016287893559447042,2.361
yadK,1.5100000000000002,0.6446640904173927,0.42692986120357124,0.3569362167445276,-0.6443354820877971,2.3800000000000003
yadL,1.40905,0.7595029174262251,0.5390177193330437,1.282027511549617,0.32352439487692397,2.581
yadM,1.5009499999999998,0.8329901417878783,0.554975276849914,1.0752861626987698,0.7585959303991605,3.1689999999999996
htrE,0.71945,0.31811227329521985,0.44216036318746244,1.3060833699758971,1.544857511776831,1.346
yadV,0.40815,0.2990128099702683,0.7326051940959655,0.3017291391113638,-0.9939032382545361,1.006
yadN,0.7558,0.5421115247466687,0.7172684900061771,1.5280482907124182,2.2481962857781532,2.225
folK,68.03495000000001,15.952328081126428,0.2344725480231326,-0.2646797067371594,-0.8868150558330172,52.11600000000001
pcnB,225.81515000000005,33.14793413150875,0.14679233936035177,0.34379977098334746,-0.7476501498413981,119.39700000000002
gluQ,23.1388,9.244003550524267,0.39950228838679047,0.34693448146471423,-0.9163822512957749,29.989000000000004
dksA,822.2728999999999,493.87281458008255,0.600619106600841,1.495317535718977,1.2092519835952888,1728.312
sfsA,53.10145,19.959914247983185,0.37588265947508376,1.0459791332215669,0.6827674459338811,73.852
thpR,14.67305,2.6340748795454987,0.17951788343565234,0.1788809667009973,-0.7675182262196398,9.854000000000001
hrpB,24.279350000000004,2.958618743781062,0.12185741149499725,0.12791325921176666,-1.1147584705072782,9.225999999999999
mrcB,55.25904999999999,7.16375592809864,0.1296395057117095,0.3908609952125498,-0.6353166086370585,24.951999999999998
fhuA,198.58919999999998,132.96655642980306,0.6695558289665454,0.11590226852231815,-1.265375858820611,414.418
fhuC,87.16204999999998,55.84050225086579,0.6406515479026228,-0.1895469174184186,-1.4526522981873216,162.702
fhuD,46.90565000000001,31.617357576720583,0.6740628810542136,0.0039245859791613505,-1.2200917518150451,100.19000000000001
fhuB,40.495999999999995,28.96634521756512,0.7152890462654367,0.13482025758549301,-1.3893468427561286,87.72999999999999
hemL,138.48065,30.52026388668941,0.22039370761683608,-0.741196876323188,0.2704614040634765,115.005
clcA,29.529200000000003,9.662720759921116,0.3272259580320874,0.9923985873239509,0.6169250559353565,35.498
erpA,350.12129999999996,108.38085003022299,0.3095522895357209,-0.2567478060470005,-0.9841031148106119,354.93000000000006
yadS,31.36005,5.88632879489236,0.1877015117926266,0.5808769362328604,-0.0408650469798304,22.916999999999998
btuF,45.887600000000006,8.636090839579774,0.18820097018758386,1.451214079216504,2.0613442858204456,34.73500000000001
mtn,241.0797,55.30557865370412,0.22940786243596667,0.9517521243599472,1.109642369424832,220.20400000000004
dgt,19.088700000000003,3.6329091010981966,0.1903172610548752,-0.07021762166440418,-1.2835919602006078,11.575000000000001
degP,93.1583,37.455597487804425,0.40206398665287396,0.8325424925293461,-0.5921469718814154,119.43200000000002
cdaR,6.547149999999999,4.032244696456957,0.6158778547088364,1.0299874376101024,0.020229422752886528,13.832
yaeH,117.77020000000002,64.744685374737,0.5497543977571321,1.284570137786696,1.132422126669888,256.56199999999995
yaeI,12.6291,4.232684850317262,0.33515332449004775,0.039875166288690596,-0.8195383814658133,15.514
dapD,374.30785,85.2304902326163,0.22770158369004634,0.009141519870220887,-1.555386543745741,254.027
glnD,29.325499999999998,7.730936536852576,0.26362505453794743,-1.3344113786291512,0.7361697798425211,26.334000000000003
map,315.0916,80.58752094553702,0.25575902672599654,0.5420651787209418,-1.0540565565158582,258.327
rpsB,3976.4301,1012.2578253017466,0.2545644711073248,-0.32720066656367025,-0.6886889820804121,3635.266
tsf,2180.7912000000006,779.4534132166018,0.3574177175772727,0.6319665614141726,0.052087019688342284,2924.178
pyrH,365.8395999999999,151.78862004060642,0.41490483818757307,0.24116922988123962,-0.7454194382795509,521.299
frr,1009.6073,194.11355415895372,0.19226639323918687,-0.15238278031062363,0.2347696907050305,796.208
dxr,51.05389999999999,11.879532397761862,0.2326860905388592,0.7859050396462393,-0.4081317401398987,38.095
ispU,279.17470000000003,67.54897465200224,0.24195951370952395,1.0412474127137177,0.6501189246068919,257.972
cdsA,206.71279999999993,45.68553849685225,0.22100972216936865,1.3011569894584762,1.5533043751628313,190.288
rseP,213.31794999999997,47.27875145456605,0.22163512941393848,1.4685993857977402,1.4431754250800193,180.62199999999999
bamA,318.63,58.22591021638319,0.1827383178494906,0.4917444879869592,-0.3696123964585847,226.985
skp,934.1550000000001,197.26365836562363,0.211168016405868,0.055447362898537474,-0.16981195094572632,759.5169999999999
lpxD,486.9550499999999,88.74600716798771,0.18224681552843067,1.6103076199363016,3.187260069895422,393.996
fabZ,481.25025000000016,76.80685633928579,0.15959857961483814,0.002779840803807992,-1.3497847274645767,240.909
lpxA,445.24395000000004,73.32807310011846,0.16469190227092015,0.45793795590804687,-0.48754835455475476,258.642
lpxB,147.04720000000003,20.195005671283134,0.1373368936728012,-0.35180820007779107,-0.6968080440605235,70.61200000000001
rnhB,90.87520000000002,17.921867318123436,0.19721406190163468,-0.1688311695373044,-0.9937875480244887,59.212999999999994
dnaE,88.4364,16.764576097423873,0.18956646920751943,-0.0787506810780053,-0.9795200186471451,59.317
accA,319.59055,60.19967782871914,0.1883650121341796,0.46713246049005896,-0.6862116251008983,193.6
ldcC,18.7771,11.032627319384131,0.5875575738204585,1.480155067253735,2.0607005846953816,45.217999999999996
yaeR,40.2069,14.274524476917096,0.35502673613029345,1.3307718916013822,0.6998452486475286,49.223
tilS,34.771249999999995,5.901297956025393,0.169717739685096,-0.32864843220740503,-0.5519279556151373,20.270999999999997
