gene_name	module	frequency	Poor_M9_ATC5.rep1ME	Poor_M9_ATC5.rep2ME	Rich_LB_ATC12.rep1ME	Rich_LB_ATC12.rep2ME	Rich_M9_ATC5_1.rep1ME	Rich_M9_ATC5_1.rep2ME	Rich_M9_ATC5_2.rep1ME	Rich_M9_ATC5_2.rep2ME	Rich_M9_ATC5_CAM1.2.rep1ME	Rich_M9_ATC5_CAM1.2.rep2ME	Rich_M9_ATC5_NOX.rep1ME	Rich_M9_ATC5_NOX.rep2ME	Rich_M9_ATC5_PH5.rep1ME	Rich_M9_ATC5_PH5.rep2ME	Rich_M9_ATC5_TMP.rep1ME	Rich_M9_ATC5_TMP.rep2ME	Rich_M9_No_ATC_1.rep1ME	Rich_M9_No_ATC_1.rep2ME	Rich_M9_No_ATC_2.rep1ME	Rich_M9_No_ATC_2.rep2ME	ME_min	ME_max	ME_mean	ME_median	ME_std	Poor_M9_ATC5.rep1ME_raw_ratio	Poor_M9_ATC5.rep2ME_raw_ratio	Rich_LB_ATC12.rep1ME_raw_ratio	Rich_LB_ATC12.rep2ME_raw_ratio	Rich_M9_ATC5_1.rep1ME_raw_ratio	Rich_M9_ATC5_1.rep2ME_raw_ratio	Rich_M9_ATC5_2.rep1ME_raw_ratio	Rich_M9_ATC5_2.rep2ME_raw_ratio	Rich_M9_ATC5_CAM1.2.rep1ME_raw_ratio	Rich_M9_ATC5_CAM1.2.rep2ME_raw_ratio	Rich_M9_ATC5_NOX.rep1ME_raw_ratio	Rich_M9_ATC5_NOX.rep2ME_raw_ratio	Rich_M9_ATC5_PH5.rep1ME_raw_ratio	Rich_M9_ATC5_PH5.rep2ME_raw_ratio	Rich_M9_ATC5_TMP.rep1ME_raw_ratio	Rich_M9_ATC5_TMP.rep2ME_raw_ratio	Rich_M9_No_ATC_1.rep1ME_raw_ratio	Rich_M9_No_ATC_1.rep2ME_raw_ratio	Rich_M9_No_ATC_2.rep1ME_raw_ratio	Rich_M9_No_ATC_2.rep2ME_raw_ratio
thrL	black	144.0	-0.0864741387351336	-0.110610636708453	-0.0741044821432743	-0.17571304157937	0.0745788756236355	-0.0883053105377187	-0.141329417509201	-0.110298552573903	-0.0905232495860328	-0.0966928849107984	0.073666973092371	0.0688144093752025	0.915742450199528	-0.0929190061553531	-0.0179846813302202	0.009939552097395	0.108135203780008	-0.0820798733648725	-0.0656869159858632	-0.0181552730479462	-0.17571304157937	0.915742450199528	1.7347234759768072e-19	-0.0780921777540734	0.2294157338705618	-0.0003530133031316688	-0.0005212123227457285	-0.00017405224103549956	-0.0007152575940283071	0.0003710521044197335	-0.0006592359186397915	-0.0010018176228562587	-0.0009704083385291742	-0.0003452266072217075	-0.0004718521433072018	0.00018605261080995942	0.00017600493471584864	0.0015455203593493622	-0.00036279622423698784	-8.028517177902862e-05	4.8599176110986166e-05	0.0006097930073140511	-0.0006317481113324802	-0.00025672188779317145	-0.00010523148868261896
thrA	turquoise	1554.0	0.582229207115993	0.642916984447146	-0.184701788968302	-0.215938124402432	-0.044335844254853	-0.154323913085832	-0.150085520709741	-0.104052697559089	-0.0980156300972722	-0.106689701965015	-0.0167086658591859	-0.0074666441548455	0.0817208176470093	-0.180187419390177	0.0861699728061131	0.0955850932269716	-0.0430456874884447	-0.169569912203629	-0.0121555873509549	-0.0013449377534582	-0.215938124402432	0.642916984447146	7.509184246634604e-17	-0.0436907658716488	0.2294157338705617	0.0009493553726155092	0.0012489887993145138	-0.003548477242863768	-0.004176510539087326	-0.0006523814634322102	-0.0030899389933892354	-0.0028352795071264945	-0.001999782779041532	-0.0010108559976204552	-0.001123333283829757	-0.00021825701599093332	-0.00010833784322178613	0.001410438689109584	-0.0030512830743599307	0.0016230006367339027	0.00177644345953076	-0.0007834750735037804	-0.0035024251203889085	-0.00021252884606967216	-1.3885091712520906e-05
thrB	turquoise	1554.0	0.582229207115993	0.642916984447146	-0.184701788968302	-0.215938124402432	-0.044335844254853	-0.154323913085832	-0.150085520709741	-0.104052697559089	-0.0980156300972722	-0.106689701965015	-0.0167086658591859	-0.0074666441548455	0.0817208176470093	-0.180187419390177	0.0861699728061131	0.0955850932269716	-0.0430456874884447	-0.169569912203629	-0.0121555873509549	-0.0013449377534582	-0.215938124402432	0.642916984447146	7.509184246634604e-17	-0.0436907658716488	0.2294157338705617	0.0012469277197615773	0.0015065389054674647	-0.003819151171752657	-0.004495620186172673	-0.0005848747329277214	-0.003048253167002429	-0.0026483654904579236	-0.0017359475735583751	-0.001019721494977863	-0.0011605032084431766	-0.00022194179187059532	-0.00010669073152214078	0.0012064072048156792	-0.002970057021661782	0.0015264020124016989	0.001626039283256866	-0.0006677373379111875	-0.003570945377661395	-0.00019746880697491591	-1.270427198279129e-05
thrC	turquoise	1554.0	0.582229207115993	0.642916984447146	-0.184701788968302	-0.215938124402432	-0.044335844254853	-0.154323913085832	-0.150085520709741	-0.104052697559089	-0.0980156300972722	-0.106689701965015	-0.0167086658591859	-0.0074666441548455	0.0817208176470093	-0.180187419390177	0.0861699728061131	0.0955850932269716	-0.0430456874884447	-0.169569912203629	-0.0121555873509549	-0.0013449377534582	-0.215938124402432	0.642916984447146	7.509184246634604e-17	-0.0436907658716488	0.2294157338705617	0.001170910129043013	0.0014053536777742838	-0.0034482448840322233	-0.003746909205157502	-0.00045710354618222964	-0.0025865065463141204	-0.002035913681815285	-0.001571745529728543	-0.0009417335712651057	-0.0010244637318758522	-0.00019342539457052778	-9.092025565122438e-05	0.0009852172790698794	-0.002838938386484591	0.0012753640613648058	0.001393246847607667	-0.0005605710126247861	-0.002837657717148267	-0.0001371296927107036	-9.068422584169645e-06
yaaX	brown	309.0	-0.101142646705154	-0.107472111941909	-0.085418696379642	-0.142138819002183	0.643897017225751	-0.0881816542652508	-0.146211061776367	-0.127352720222525	-0.0985195738065796	-0.0974725121016663	-0.0576864911738261	-0.0634363533381135	0.0288166718148992	-0.101780712041272	-0.0359205493974815	-0.0239150249866221	0.664857713533132	-0.0926609019788481	0.017873763648325	0.0138646628953335	-0.146211061776367	0.664857713533132	3.7730235602495554e-17	-0.0868001753224464	0.2294157338705617	-0.0027392857217765076	-0.003281390814054378	-0.0035302817151447344	-0.008733031396054497	0.015583557618184151	-0.0034331965842028735	-0.00567920224417817	-0.006368909793084868	-0.0044949162244082306	-0.003520515480249442	-0.003259492099323432	-0.003940146170069161	0.0016153748424743092	-0.00573606357311046	-0.0023579197451412304	-0.0013549589227547932	0.01613497339060166	-0.005178033080684443	0.0007078437942388419	0.00047943092414445517
yaaA	cyan	74.0	-0.0854545751225192	-0.0618534083632201	-0.129593229402867	-0.14644000087046	-0.0887716125947578	-0.0829055743928578	-0.089589151429537	-0.0854451347588559	-0.0914955429267205	-0.0787764676638945	0.66749902338328	0.651344481611492	0.021999783531219	-0.113993164867865	0.0041177927053189	0.0062321727706521	-0.0701631023777776	-0.0929969896137976	-0.058964432606085	-0.0747508670107463	-0.14644000087046	0.66749902338328	4.510281037539698e-17	-0.0808410210283761	0.2294157338705617	-0.0018563764065457214	-0.0012888811911485746	-0.0028667263063059546	-0.003029061968568828	-0.0024746769791134534	-0.0019393570467813935	-0.002295450855249609	-0.0018880399230788382	-0.0017640075369538156	-0.0017555035803337009	0.0054193311957723474	0.004185480539850225	0.0003761418330464198	-0.002307694088059295	4.76795042531483e-05	7.685974928349387e-05	-0.0021525725533909374	-0.0022147941035461096	-0.0010575062341921337	-0.0012449555653572656
yaaJ	salmon	78.0	-0.0237728329664407	0.0078193831384096	-0.17727962567562	-0.238974695440697	-0.100368568344796	-0.163818080763224	-0.0922541380222476	-0.0793547733356389	-0.124281586365831	-0.139953403769111	-0.0312129352978414	-0.0167631067682757	-0.056076497197195	-0.16471274184547	0.355439239575353	0.326737331818587	-0.0949567547873658	-0.197151971623885	0.522496775053197	0.488438982618092	-0.238974695440697	0.522496775053197	-1.9428902930940238e-17	-0.0858044556789432	0.2294157338705618	-0.0028738917996180727	0.0009015776707494063	-0.0241000034904323	-0.0585435314651389	-0.009090532410542161	-0.02629081700581351	-0.009434867868914665	-0.007675285166422178	-0.029868201481814714	-0.03071848195107792	-0.0038331002453446394	-0.002088340197866663	-0.008181572395272103	-0.037332897063796465	0.020155329717910574	0.019052850418017783	-0.009469161825624831	-0.02292998041682775	0.02238824128259478	0.026264396548803137
talB	lightyellow	35.0	-0.31707754482799	-0.320235422697767	0.106298045265403	-0.004021963185395	-0.327728189377956	-0.073055344864032	-0.0722038082044809	-0.0759503380508548	0.0188983252112993	-0.0295514973927644	0.0445022383189096	0.0488480175146795	0.280246691476205	0.153263576690492	0.456755978741134	0.465623322256704	-0.333943963123499	-0.0966191520219932	-0.012407023613389	0.0883580518852934	-0.333943963123499	0.465623322256704	-7.979727989493313e-17	-0.008214493399392	0.2294157338705618	-0.00048250993670772825	-0.0004993846843679116	0.0001157038419883173	-4.8590866300137725e-06	-0.0005757425234185238	-0.0001023734681734042	-9.927705941525994e-05	-9.72623716684806e-05	2.3421046370716513e-05	-3.694301986416708e-05	6.208632818843941e-05	6.916357178107956e-05	0.0002469703944665685	0.0001515925717718509	0.00048091726198316837	0.00048763159922450355	-0.0006128064328378048	-0.00014655853219021104	-1.2968887704289645e-05	8.110938707205126e-05
mog	purple	91.0	-0.21786761971334	-0.209890679267808	0.0777224873553478	0.0034298009116292	0.065974097075134	-0.251996955047913	-0.289392624471912	-0.32332883597063	0.0915116041307314	0.0929060280198913	-0.0908161897682165	-0.0877000192379393	0.496104407193291	0.183235522963564	0.351126722117136	0.347101476782841	-0.0211067270179255	-0.279453533952569	-0.0372781666972015	0.0997192045958878	-0.32332883597063	0.496104407193291	-8.396061623727746e-17	-0.0088384630531481	0.2294157338705619	-0.004409115409170461	-0.005450290295191068	0.0008052558289595602	3.479699806859566e-05	0.0007894754756678355	-0.0038390760976220743	-0.004414770552270934	-0.004958498872369992	0.0010758982803180423	0.001098790439368104	-0.0013444291601512435	-0.001292347876364028	0.005060018024491973	0.0016708507920737876	0.0038160141078220277	0.004147417007597483	-0.0002578771261109068	-0.00485381481141781	-0.0005065725406949612	0.0011421281021176016
satP	turquoise	1554.0	0.582229207115993	0.642916984447146	-0.184701788968302	-0.215938124402432	-0.044335844254853	-0.154323913085832	-0.150085520709741	-0.104052697559089	-0.0980156300972722	-0.106689701965015	-0.0167086658591859	-0.0074666441548455	0.0817208176470093	-0.180187419390177	0.0861699728061131	0.0955850932269716	-0.0430456874884447	-0.169569912203629	-0.0121555873509549	-0.0013449377534582	-0.215938124402432	0.642916984447146	7.509184246634604e-17	-0.0436907658716488	0.2294157338705617	0.025665823544897205	0.03265693017966912	-0.0029183407958334965	-0.004676009623266177	-0.0011989789673549948	-0.0017047845111333125	-0.002438155217274087	-0.001697904762480443	-0.0031252990911699572	-0.004385108999795109	-0.0003798287306020891	-0.00015405624764985455	0.005607686656625904	-0.0034770448726443785	0.005111214947868385	0.005477341884532211	-0.0009721028768195095	-0.0018352516581197128	-0.00035783301003694144	-6.584117851168552e-05
